name,plugin
core_freq_37,ganglia_pub
core_freq_38,ganglia_pub
core_freq_39,ganglia_pub
core_freq_4,ganglia_pub
core_freq_40,ganglia_pub
core_freq_41,ganglia_pub
core_freq_42,ganglia_pub
core_freq_43,ganglia_pub
core_freq_44,ganglia_pub
core_freq_45,ganglia_pub
core_freq_46,ganglia_pub
core_freq_47,ganglia_pub
core_freq_48,ganglia_pub
core_freq_49,ganglia_pub
core_freq_5,ganglia_pub
core_freq_50,ganglia_pub
core_freq_51,ganglia_pub
core_freq_52,ganglia_pub
core_freq_53,ganglia_pub
core_freq_54,ganglia_pub
core_freq_55,ganglia_pub
core_freq_56,ganglia_pub
core_freq_57,ganglia_pub
core_freq_58,ganglia_pub
core_freq_59,ganglia_pub
core_freq_6,ganglia_pub
core_freq_60,ganglia_pub
core_freq_61,ganglia_pub
core_freq_62,ganglia_pub
core_freq_63,ganglia_pub
core_freq_64,ganglia_pub
core_freq_65,ganglia_pub
core_freq_66,ganglia_pub
core_freq_67,ganglia_pub
core_freq_68,ganglia_pub
core_freq_69,ganglia_pub
core_freq_7,ganglia_pub
core_freq_70,ganglia_pub
core_freq_71,ganglia_pub
core_freq_8,ganglia_pub
core_freq_9,ganglia_pub
core_freq_avg,ganglia_pub
core_freq_max,ganglia_pub
core_freq_median,ganglia_pub
core_freq_min,ganglia_pub
cpu_aidle,ganglia_pub
cpu_ctxt,ganglia_pub
cpu_idle,ganglia_pub
cpu_intr,ganglia_pub
cpu_nice,ganglia_pub
cpu_num,ganglia_pub
cpu_sintr,ganglia_pub
cpu_speed,ganglia_pub
cpu_steal,ganglia_pub
cpu_system,ganglia_pub
cpu_user,ganglia_pub
cpu_wio,ganglia_pub
disk_free,ganglia_pub
disk_free_absolute_dev_shm,ganglia_pub
disk_free_absolute_glusterfs_slurm_brick01,ganglia_pub
disk_free_absolute_install,ganglia_pub
disk_free_absolute_opt,ganglia_pub
disk_free_absolute_rootfs,ganglia_pub
disk_free_absolute_run,ganglia_pub
disk_free_absolute_run_media_root_CentOS-8-3-2011-x86_64-dvd,ganglia_pub
disk_free_absolute_run_user_0,ganglia_pub
disk_free_absolute_run_user_12016,ganglia_pub
disk_free_absolute_run_user_12031,ganglia_pub
disk_free_absolute_run_user_129,ganglia_pub
disk_free_absolute_run_user_18044,ganglia_pub
disk_free_absolute_run_user_25356,ganglia_pub
disk_free_absolute_run_user_26304,ganglia_pub
disk_free_absolute_run_user_27766,ganglia_pub
disk_free_absolute_run_user_28090,ganglia_pub
disk_free_absolute_run_user_28501,ganglia_pub
disk_free_absolute_run_user_28520,ganglia_pub
disk_free_absolute_run_user_28526,ganglia_pub
disk_free_absolute_run_user_28527,ganglia_pub
disk_free_absolute_run_user_28531,ganglia_pub
disk_free_absolute_run_user_28541,ganglia_pub
disk_free_absolute_run_user_28543,ganglia_pub
disk_free_absolute_run_user_28552,ganglia_pub
disk_free_absolute_run_user_28565,ganglia_pub
disk_free_absolute_run_user_28568,ganglia_pub
disk_free_absolute_run_user_28966,ganglia_pub
disk_free_absolute_run_user_29259,ganglia_pub
disk_free_absolute_run_user_29437,ganglia_pub
disk_free_absolute_run_user_30469,ganglia_pub
disk_free_absolute_run_user_30656,ganglia_pub
disk_free_absolute_run_user_31644,ganglia_pub
disk_free_absolute_run_user_31688,ganglia_pub
disk_free_absolute_run_user_31949,ganglia_pub
disk_free_absolute_run_user_32073,ganglia_pub
disk_free_absolute_run_user_32112,ganglia_pub
disk_free_absolute_run_user_32154,ganglia_pub
disk_free_absolute_run_user_32171,ganglia_pub
disk_free_absolute_run_user_32510,ganglia_pub
disk_free_absolute_run_user_32579,ganglia_pub
disk_free_absolute_run_user_33274,ganglia_pub
disk_free_absolute_run_user_37259,ganglia_pub
disk_free_absolute_run_user_51133,ganglia_pub
disk_free_absolute_scratch_local,ganglia_pub
disk_free_absolute_secinv,ganglia_pub
disk_free_absolute_sys_fs_cgroup,ganglia_pub
disk_free_absolute_tmp,ganglia_pub
disk_free_absolute_usr,ganglia_pub
disk_free_absolute_var,ganglia_pub
disk_free_absolute_vms,ganglia_pub
disk_free_percent_dev_shm,ganglia_pub
disk_free_percent_glusterfs_slurm_brick01,ganglia_pub
disk_free_percent_install,ganglia_pub
disk_free_percent_opt,ganglia_pub
disk_free_percent_rootfs,ganglia_pub
disk_free_percent_run,ganglia_pub
disk_free_percent_run_media_root_CentOS-8-3-2011-x86_64-dvd,ganglia_pub
disk_free_percent_run_user_0,ganglia_pub
disk_free_percent_run_user_12016,ganglia_pub
disk_free_percent_run_user_12031,ganglia_pub
disk_free_percent_run_user_129,ganglia_pub
disk_free_percent_run_user_18044,ganglia_pub
disk_free_percent_run_user_25356,ganglia_pub
disk_free_percent_run_user_26304,ganglia_pub
disk_free_percent_run_user_27766,ganglia_pub
disk_free_percent_run_user_28090,ganglia_pub
disk_free_percent_run_user_28501,ganglia_pub
disk_free_percent_run_user_28520,ganglia_pub
disk_free_percent_run_user_28526,ganglia_pub
disk_free_percent_run_user_28527,ganglia_pub
disk_free_percent_run_user_28531,ganglia_pub
disk_free_percent_run_user_28541,ganglia_pub
